Driver,LapTime,LapNumber,Compound,TyreLife,Team,Track,Rainfall,TrackTemp,LapTime_sec,LapTime_norm
STR,91.077,31.0,INTERMEDIATE,27.0,Aston Martin,Melbourne,0,19.1,91.077,-0.2994574130801062
STR,90.657,32.0,INTERMEDIATE,28.0,Aston Martin,Melbourne,0,19.1,90.657,-0.44633393037003527
STR,87.301,42.0,HARD,10.0,Aston Martin,Melbourne,0,19.3,87.301,-1.619947244715271
STR,85.538,43.0,HARD,11.0,Aston Martin,Melbourne,0,19.3,85.538,-2.236478911339425
STR,92.361,46.0,INTERMEDIATE,2.0,Aston Martin,Melbourne,1,19.3,92.361,0.14956508263481996
STR,95.395,52.0,INTERMEDIATE,8.0,Aston Martin,Melbourne,0,18.7,95.395,1.2105730670577763
STR,91.558,53.0,INTERMEDIATE,9.0,Aston Martin,Melbourne,0,18.7,91.558,-0.13124883018378034
STR,90.794,54.0,INTERMEDIATE,10.0,Aston Martin,Melbourne,0,18.7,90.794,-0.3984242092540346
STR,90.387,55.0,INTERMEDIATE,11.0,Aston Martin,Melbourne,0,18.7,90.387,-0.540754548627845
STR,90.323,56.0,INTERMEDIATE,12.0,Aston Martin,Melbourne,0,18.7,90.323,-0.5631357322148842
STR,90.957,57.0,INTERMEDIATE,13.0,Aston Martin,Melbourne,0,18.7,90.957,-0.34142213230580165
TSU,98.464,8.0,INTERMEDIATE,8.0,Racing Bulls,Melbourne,0,19.1,98.464,2.2838207612548973
TSU,95.409,9.0,INTERMEDIATE,9.0,Racing Bulls,Melbourne,0,19.1,95.409,1.2154689509674441
TSU,94.433,10.0,INTERMEDIATE,10.0,Racing Bulls,Melbourne,0,19.1,94.433,0.8741559012651345
TSU,94.136,11.0,INTERMEDIATE,11.0,Racing Bulls,Melbourne,0,19.1,94.136,0.7702932211815383
TSU,93.273,12.0,INTERMEDIATE,12.0,Racing Bulls,Melbourne,0,19.3,93.273,0.46849694875009035
TSU,92.762,13.0,INTERMEDIATE,13.0,Racing Bulls,Melbourne,0,19.3,92.762,0.28979718604734556
TSU,92.434,14.0,INTERMEDIATE,14.0,Racing Bulls,Melbourne,1,19.3,92.434,0.17509362016378138
TSU,92.545,15.0,INTERMEDIATE,15.0,Racing Bulls,Melbourne,0,19.3,92.545,0.21391098544754966
TSU,92.133,16.0,INTERMEDIATE,16.0,Racing Bulls,Melbourne,1,19.3,92.133,0.06983211610599865
TSU,92.645,17.0,INTERMEDIATE,17.0,Racing Bulls,Melbourne,1,19.4,92.645,0.24888158480229253
TSU,93.444,18.0,INTERMEDIATE,18.0,Racing Bulls,Melbourne,1,19.4,93.444,0.5282966736467063
TSU,93.496,19.0,INTERMEDIATE,19.0,Racing Bulls,Melbourne,1,19.4,93.496,0.5464813853111711
TSU,92.549,20.0,INTERMEDIATE,20.0,Racing Bulls,Melbourne,1,19.4,92.549,0.21530980942174116
TSU,92.012,21.0,INTERMEDIATE,21.0,Racing Bulls,Melbourne,1,19.4,92.012,0.02751769088675908
TSU,91.567,22.0,INTERMEDIATE,22.0,Racing Bulls,Melbourne,1,19.2,91.567,-0.12810147624185816
TSU,91.793,23.0,INTERMEDIATE,23.0,Racing Bulls,Melbourne,1,19.2,91.793,-0.04906792170013011
TSU,91.38,24.0,INTERMEDIATE,24.0,Racing Bulls,Melbourne,0,19.2,91.38,-0.19349649703523022
TSU,91.38,25.0,INTERMEDIATE,25.0,Racing Bulls,Melbourne,0,19.2,91.38,-0.19349649703523022
TSU,91.205,26.0,INTERMEDIATE,26.0,Racing Bulls,Melbourne,1,19.2,91.205,-0.25469504590603276
TSU,91.066,27.0,INTERMEDIATE,27.0,Racing Bulls,Melbourne,0,19.2,91.066,-0.30330417900912665
TSU,90.709,28.0,INTERMEDIATE,28.0,Racing Bulls,Melbourne,0,19.1,90.709,-0.42814921870556555
TSU,90.031,29.0,INTERMEDIATE,29.0,Racing Bulls,Melbourne,0,19.1,90.031,-0.6652498823307348
TSU,90.184,30.0,INTERMEDIATE,30.0,Racing Bulls,Melbourne,0,19.1,90.184,-0.6117448653179781
TSU,90.082,31.0,INTERMEDIATE,31.0,Racing Bulls,Melbourne,0,19.1,90.082,-0.6474148766598192
TSU,90.492,32.0,INTERMEDIATE,32.0,Racing Bulls,Melbourne,0,19.1,90.492,-0.5040354193053614
TSU,87.146,42.0,MEDIUM,9.0,Racing Bulls,Melbourne,0,19.3,87.146,-1.674151673715126
TSU,84.194,43.0,MEDIUM,10.0,Racing Bulls,Melbourne,0,19.3,84.194,-2.7064837666671937
TSU,100.978,46.0,MEDIUM,13.0,Racing Bulls,Melbourne,1,19.3,100.978,3.162981629033182
TSU,97.809,52.0,INTERMEDIATE,5.0,Racing Bulls,Melbourne,0,18.7,97.809,2.0547633354813177
TSU,94.836,53.0,INTERMEDIATE,6.0,Racing Bulls,Melbourne,0,18.7,94.836,1.0150874166647534
TSU,92.363,54.0,INTERMEDIATE,7.0,Racing Bulls,Melbourne,0,18.7,92.363,0.15026449462191324
TSU,91.891,55.0,INTERMEDIATE,8.0,Racing Bulls,Melbourne,0,18.7,91.891,-0.014796734332480497
TSU,91.524,56.0,INTERMEDIATE,9.0,Racing Bulls,Melbourne,0,18.7,91.524,-0.1431388339643957
TSU,91.511,57.0,INTERMEDIATE,10.0,Racing Bulls,Melbourne,0,18.7,91.511,-0.14768501188051436
ALB,98.281,8.0,INTERMEDIATE,6.0,Williams,Melbourne,0,19.1,98.281,2.219824564435717
ALB,96.3,9.0,INTERMEDIATE,7.0,Williams,Melbourne,0,19.1,96.3,1.5270569912182177
ALB,94.494,10.0,INTERMEDIATE,8.0,Williams,Melbourne,0,19.1,94.494,0.8954879668715264
ALB,94.206,11.0,INTERMEDIATE,9.0,Williams,Melbourne,0,19.1,94.206,0.7947726407298623
ALB,93.713,12.0,INTERMEDIATE,10.0,Williams,Melbourne,0,19.3,93.713,0.622367585910967
ALB,93.153,13.0,INTERMEDIATE,11.0,Williams,Melbourne,0,19.3,93.153,0.42653222952439984
ALB,92.717,14.0,INTERMEDIATE,12.0,Williams,Melbourne,1,19.3,92.717,0.2740604163377098
ALB,92.733,15.0,INTERMEDIATE,13.0,Williams,Melbourne,0,19.3,92.733,0.27965571223447083
ALB,92.464,16.0,INTERMEDIATE,14.0,Williams,Melbourne,1,19.3,92.464,0.18558479997020524
ALB,93.088,17.0,INTERMEDIATE,15.0,Williams,Melbourne,1,19.4,93.088,0.4038013399438115
ALB,92.981,18.0,INTERMEDIATE,16.0,Williams,Melbourne,1,19.4,92.981,0.3663827986342348
ALB,93.051,19.0,INTERMEDIATE,17.0,Williams,Melbourne,1,19.4,93.051,0.39086221818255873
